bin	Depth zymo_fecal	Input_file_busco	Dataset_busco	Complete_busco	Single_busco	Duplicated_busco	Fragmented_busco	Missing_busco	n_markers_busco	Translation table_busco	Scores_archaea_odb12_busco	Scores_bacteria_odb12_busco	Scores_eukaryota_odb12_busco	Scaffold N50_busco	Contigs N50_busco	Percent gaps_busco	Number of scaffolds_busco	Internal stop codon percent_busco	Name_checkm2	Completeness_checkm2	Contamination_checkm2	Completeness_Model_Used_checkm2	Translation_Table_Used_checkm2	Coding_Density_checkm2	Genome_Size_checkm2	Total_Coding_Sequences_checkm2	Name	Assembly_quast	# contigs (>= 0 bp)_quast	# contigs (>= 1000 bp)_quast	# contigs (>= 5000 bp)_quast	# contigs (>= 10000 bp)_quast	# contigs (>= 25000 bp)_quast	# contigs (>= 50000 bp)_quast	Total length (>= 0 bp)_quast	Total length (>= 1000 bp)_quast	Total length (>= 5000 bp)_quast	Total length (>= 10000 bp)_quast	Total length (>= 25000 bp)_quast	Total length (>= 50000 bp)_quast	# contigs_quast	Largest contig_quast	Total length_quast	GC (%)_quast	N50_quast	N75_quast	L50_quast	L75_quast	# N's per 100 kbp_quast	# predicted rRNA genes_quast	user_genome_gtdbtk	classification_gtdbtk	closest_genome_reference_gtdbtk	closest_genome_reference_radius_gtdbtk	closest_genome_taxonomy_gtdbtk	closest_genome_ani_gtdbtk	closest_genome_af_gtdbtk	closest_placement_reference_gtdbtk	closest_placement_radius_gtdbtk	closest_placement_taxonomy_gtdbtk	closest_placement_ani_gtdbtk	closest_placement_af_gtdbtk	pplacer_taxonomy_gtdbtk	classification_method_gtdbtk	note_gtdbtk	other_related_references(genome_id,species_name,radius,ANI,AF)_gtdbtk	msa_percent_gtdbtk	translation_table_gtdbtk	red_value_gtdbtk	warnings_gtdbtk
FLYE-COMEBin-zymo_fecal.10139.fa	7.68534	FLYE-COMEBin-zymo_fecal.10139.fa	lachnospiraceae_odb12	95.3	94.1	1.1	1.1	3.6	444.0	11	C:21.0%[S:21.0%,D:0.0%],F:2.1%,M:76.9%,n:195	C:93.1%[S:92.2%,D:0.9%],F:2.6%,M:4.3%,n:116	C:2.3%[S:2.3%,D:0.0%],F:0.8%,M:96.9%,n:129,E:66.7%	274382.0	274382	0.000%	21.0		FLYE-COMEBin-zymo_fecal.10139.fa	97.23	1.18	Neural Network (Specific Model)	11	0.872	2867740	2648	FLYE-COMEBin-zymo_fecal.10139	FLYE-COMEBin-zymo_fecal.10139.fa	21	21	21	20	16	13	2867740	2867740	2867740	2860867	2795146	2670351	21	474382	2867740	42.34	274382	150437	5	8	0.0	14 + 0 part	FLYE-COMEBin-zymo_fecal.10139.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Allocoprococcus;s__Allocoprococcus comes	GCF_025149785.1	95.02	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Allocoprococcus;s__Allocoprococcus comes	98.54	0.82							ani_screen	classification based on ANI only	GCF_013300725.1, s__Allocoprococcus comes_A, 95.0, 95.16, 0.716; GCA_934320645.1, s__Allocoprococcus sp934320645, 95.0, 92.83, 0.586				
FLYE-COMEBin-zymo_fecal.10160.fa	3.50887	FLYE-COMEBin-zymo_fecal.10160.fa	varicellovirus_odb10	0.5	0.5	0.0	0.0	99.5	195.0	11	C:0.5%[S:0.5%,D:0.0%],F:0.0%,M:99.5%,n:195	C:0.0%[S:0.0%,D:0.0%],F:0.9%,M:99.1%,n:116	C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:129	25127.0	25127	0.000%	17.0		FLYE-COMEBin-zymo_fecal.10160.fa	6.55	0.03	Neural Network (Specific Model)	11	0.874	316301	313	FLYE-COMEBin-zymo_fecal.10160	FLYE-COMEBin-zymo_fecal.10160.fa	17	17	13	11	3	1	316301	316301	305081	289658	161257	96349	17	96349	316301	38.64	25127	17290	3	7	0.0	1 + 0 part	FLYE-COMEBin-zymo_fecal.10160.fa																			
FLYE-COMEBin-zymo_fecal.10177.fa	6.58926	FLYE-COMEBin-zymo_fecal.10177.fa	eukaryota_odb12	3.4	3.4	0.0	0.9	95.7	116.0	11	C:1.0%[S:1.0%,D:0.0%],F:0.0%,M:99.0%,n:195	C:3.4%[S:3.4%,D:0.0%],F:0.9%,M:95.7%,n:116	C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:129	26393.0	26393	0.000%	17.0		FLYE-COMEBin-zymo_fecal.10177.fa	8.32	0.06	Neural Network (Specific Model)	11	0.862	377267	382	FLYE-COMEBin-zymo_fecal.10177	FLYE-COMEBin-zymo_fecal.10177.fa	17	17	17	13	5	1	377267	377267	377267	343334	203754	70082	17	70082	377267	54.81	26393	18771	5	9	0.0	0 + 0 part	FLYE-COMEBin-zymo_fecal.10177.fa																			
FLYE-COMEBin-zymo_fecal.10194.fa	37.6529																		FLYE-COMEBin-zymo_fecal.10194.fa	10.45	1.32	Neural Network (Specific Model)	11	0.861	706887	758	FLYE-COMEBin-zymo_fecal.10194	FLYE-COMEBin-zymo_fecal.10194.fa	28	28	28	24	11	2	706887	706887	706887	678640	463621	115515	28	64563	706887	40.79	36826	21294	8	14	0.0	0 + 0 part	FLYE-COMEBin-zymo_fecal.10194.fa																			
FLYE-COMEBin-zymo_fecal.1021.fa	14.327649999999998	FLYE-COMEBin-zymo_fecal.1021.fa	bacteroides_odb12	98.0	96.4	1.5	0.2	1.9	1173.0	11	C:19.5%[S:18.5%,D:1.0%],F:3.1%,M:77.4%,n:195	C:97.4%[S:95.7%,D:1.7%],F:1.7%,M:0.9%,n:116	C:2.3%[S:1.6%,D:0.8%],F:0.8%,M:96.9%,n:129,E:66.7%	180147.0	180147	0.000%	30.0		FLYE-COMEBin-zymo_fecal.1021.fa	98.96	1.78	Gradient Boost (General Model)	11	0.899	3676114	3086	FLYE-COMEBin-zymo_fecal.1021	FLYE-COMEBin-zymo_fecal.1021.fa	30	30	30	30	25	20	3676114	3676114	3676114	3676114	3598491	3451275	30	792866	3676114	46.08	180147	121794	6	12	0.0	6 + 0 part	FLYE-COMEBin-zymo_fecal.1021.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris	GCF_025147325.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris	99.08	0.829							ani_screen	classification based on ANI only	GCF_025146565.1, s__Bacteroides eggerthii, 95.0, 83.53, 0.191; GCF_000374365.1, s__Bacteroides gallinarum, 95.0, 82.7, 0.154; GCF_018390535.1, s__Bacteroides propionicigenes, 95.0, 85.03, 0.249; GCF_900129655.1, s__Bacteroides clarus, 95.0, 86.92, 0.393; GCA_958432865.1, s__Bacteroides stercoris_A, 95.0, 98.7, 0.46				
FLYE-COMEBin-zymo_fecal.10222.fa	5.46072																		FLYE-COMEBin-zymo_fecal.10222.fa	11.32	0.32	Neural Network (Specific Model)	11	0.887	284307	430	FLYE-COMEBin-zymo_fecal.10222	FLYE-COMEBin-zymo_fecal.10222.fa	15	15	14	12	4	0	284307	284307	280467	268765	138034	0	15	47732	284307	48.57	24553	15206	5	8	0.0	0 + 0 part	FLYE-COMEBin-zymo_fecal.10222.fa																			
FLYE-COMEBin-zymo_fecal.10237.fa	8.77099	FLYE-COMEBin-zymo_fecal.10237.fa	eubacteriales_odb12	72.5	72.1	0.4	1.7	25.8	240.0	11	C:13.8%[S:13.8%,D:0.0%],F:3.1%,M:83.1%,n:195	C:77.6%[S:76.7%,D:0.9%],F:0.9%,M:21.6%,n:116	C:0.8%[S:0.8%,D:0.0%],F:0.0%,M:99.2%,n:129	174551.0	174551	0.000%	21.0		FLYE-COMEBin-zymo_fecal.10237.fa	69.13	0.1	Neural Network (Specific Model)	11	0.868	2068238	2021	FLYE-COMEBin-zymo_fecal.10237	FLYE-COMEBin-zymo_fecal.10237.fa	21	21	21	21	17	13	2068238	2068238	2068238	2068238	2010963	1891371	21	319512	2068238	56.2	174551	81693	5	9	0.0	12 + 0 part	FLYE-COMEBin-zymo_fecal.10237.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Hominicoprocola;s__											d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Hominicoprocola;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree		67.86	11.0	0.99914	
FLYE-COMEBin-zymo_fecal.10258.fa	10.96275	FLYE-COMEBin-zymo_fecal.10258.fa	lachnospiraceae_odb12	94.1	92.3	1.8	0.5	5.4	444.0	11	C:19.0%[S:19.0%,D:0.0%],F:3.1%,M:77.9%,n:195	C:95.7%[S:93.1%,D:2.6%],F:1.7%,M:2.6%,n:116	C:2.3%[S:2.3%,D:0.0%],F:1.6%,M:96.1%,n:129,E:100.0%	256016.0	256016	0.000%	18.0		FLYE-COMEBin-zymo_fecal.10258.fa	99.75	4.82	Neural Network (Specific Model)	11	0.834	3219944	2843	FLYE-COMEBin-zymo_fecal.10258	FLYE-COMEBin-zymo_fecal.10258.fa	18	18	18	18	16	15	3219944	3219944	3219944	3219944	3187758	3138474	18	587740	3219944	38.23	256016	168642	4	8	0.0	20 + 2 part	FLYE-COMEBin-zymo_fecal.10258.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum soehngenii	GCF_900209925.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum soehngenii	97.01	0.729							ani_screen	classification based on ANI only	GCA_934307085.1, s__Anaerobutyricum sp934307085, 95.0, 86.15, 0.178; GCA_934317185.1, s__Anaerobutyricum sp934317185, 95.0, 87.63, 0.29; GCF_000173975.1, s__Anaerobutyricum hallii, 95.0, 88.09, 0.229				
FLYE-COMEBin-zymo_fecal.10276.fa	39.24775	FLYE-COMEBin-zymo_fecal.10276.fa	eukaryota_odb12	1.7	1.7	0.0	1.7	96.6	116.0	11	C:1.0%[S:1.0%,D:0.0%],F:0.0%,M:99.0%,n:195	C:1.7%[S:1.7%,D:0.0%],F:1.7%,M:96.6%,n:116	C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:129	73555.0	73555	0.000%	32.0		FLYE-COMEBin-zymo_fecal.10276.fa	14.88	1.13	Neural Network (Specific Model)	11	0.881	1006801	1099	FLYE-COMEBin-zymo_fecal.10276	FLYE-COMEBin-zymo_fecal.10276.fa	32	32	28	22	13	7	1006801	1006801	995447	952948	794251	562863	32	98160	1006801	41.19	73555	35940	6	12	0.0	0 + 0 part	FLYE-COMEBin-zymo_fecal.10276.fa																			
FLYE-COMEBin-zymo_fecal.10308.fa	5.92108																		FLYE-COMEBin-zymo_fecal.10308.fa	3.75	0.15	Neural Network (Specific Model)	11	0.934	301512	87	FLYE-COMEBin-zymo_fecal.10308	FLYE-COMEBin-zymo_fecal.10308.fa	11	11	2	2	2	2	301512	301512	276250	276250	276250	276250	11	165699	301512	39.77	165699	110551	1	2	0.0	0 + 0 part	FLYE-COMEBin-zymo_fecal.10308.fa																			
FLYE-COMEBin-zymo_fecal.10319.fa	4.27193	FLYE-COMEBin-zymo_fecal.10319.fa	eukaryota_odb12	1.7	1.7	0.0	2.6	95.7	116.0	11	C:0.0%[S:0.0%,D:0.0%],F:0.5%,M:99.5%,n:195	C:1.7%[S:1.7%,D:0.0%],F:2.6%,M:95.7%,n:116	C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:129	72642.0	72642	0.000%	11.0		FLYE-COMEBin-zymo_fecal.10319.fa	8.66	1.33	Neural Network (Specific Model)	11	0.874	539888	627	FLYE-COMEBin-zymo_fecal.10319	FLYE-COMEBin-zymo_fecal.10319.fa	11	11	10	7	7	3	539888	539888	535658	513367	513367	381551	11	246076	539888	44.99	72642	35155	2	4	0.0	0 + 0 part	FLYE-COMEBin-zymo_fecal.10319.fa																			
FLYE-COMEBin-zymo_fecal.10330.fa	3.239955	FLYE-COMEBin-zymo_fecal.10330.fa	erysipelotrichaceae_odb12	46.2	41.9	4.3	3.8	50.0	444.0	11	C:9.2%[S:7.7%,D:1.5%],F:3.1%,M:87.7%,n:195	C:48.3%[S:42.2%,D:6.0%],F:9.5%,M:42.2%,n:116	C:0.8%[S:0.8%,D:0.0%],F:0.0%,M:99.2%,n:129,E:100.0%	53637.0	53637	0.000%	38.0		FLYE-COMEBin-zymo_fecal.10330.fa	50.63	7.5	Neural Network (Specific Model)	11	0.864	1523072	1658	FLYE-COMEBin-zymo_fecal.10330	FLYE-COMEBin-zymo_fecal.10330.fa	38	38	36	33	25	10	1523072	1523072	1516980	1498478	1350048	830653	38	161084	1523072	45.73	53637	34792	9	18	0.0	5 + 1 part	FLYE-COMEBin-zymo_fecal.10330.fa	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Merdibacter;s__											d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Merdibacter;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree		39.96	11.0	0.99764	
FLYE-COMEBin-zymo_fecal.10368.fa	2.64438	FLYE-COMEBin-zymo_fecal.10368.fa	varicellovirus_odb10	1.0	1.0	0.0	0.0	99.0	195.0	11	C:1.0%[S:1.0%,D:0.0%],F:0.0%,M:99.0%,n:195	C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:116	C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:129	14345.0	14345	0.000%	15.0		FLYE-COMEBin-zymo_fecal.10368.fa	4.67	0.0	Neural Network (Specific Model)	11	0.845	211399	214	FLYE-COMEBin-zymo_fecal.10368	FLYE-COMEBin-zymo_fecal.10368.fa	15	15	14	10	1	0	211399	211399	206870	173061	32673	0	15	32673	211399	45.45	14345	12371	5	9	0.0	0 + 0 part	FLYE-COMEBin-zymo_fecal.10368.fa																			
FLYE-COMEBin-zymo_fecal.10383.fa	3.99496	FLYE-COMEBin-zymo_fecal.10383.fa	varicellovirus_odb10	1.7	1.7	0.0	0.0	98.3	116.0	11	C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:195	C:1.7%[S:1.7%,D:0.0%],F:0.0%,M:98.3%,n:116	C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:129	49229.0	49229	0.000%	8.0		FLYE-COMEBin-zymo_fecal.10383.fa	5.61	0.15	Neural Network (Specific Model)	11	0.844	278822	337	FLYE-COMEBin-zymo_fecal.10383	FLYE-COMEBin-zymo_fecal.10383.fa	8	8	7	5	4	1	278822	278822	276927	261507	250817	120927	8	120927	278822	48.93	49229	48990	2	3	0.0	2 + 1 part	FLYE-COMEBin-zymo_fecal.10383.fa																			
